transaction_amount,hour_of_day,is_weekend,num_items,customer_age,prev_transactions,distance_from_home,device_type,network_quality,is_first_transaction,store_type,velocity_score,is_fraud
161.3636911,3,0,2,18,2,26.53974177,1,48.40393715,0,0,3.718296156,0
116.2028514,1,1,4,26.28581798,2,50.71440221,,76.14497894,0,0,4.95127249,0
1,2,0,5,18,,9.467935203,0,67.60031589,0,0,4.556043486,0
48.78061793,2,0,3,44.47118993,,41.07706832,0,94.82552554,0,0,6.918436728,0
,3,0,4,38.73360893,8,,2,100,0,1,5.535334848,1
,1,1,2,20.2603978,2,43.37189089,2,67.90800934,1,1,,1
74.69054695,3,0,4,48.16927201,5,16.76409906,0,82.43976887,0,0,,0
17.93099422,1,0,1,33.20069412,3,2.022411242,0,77.47250549,0,0,4.937005762,1
74.37056015,3,0,3,,1,64.70726549,0,30.87027181,0,0,7.77809835,0
177.016199,2,0,5,29.99565291,3,31.28494138,0,70.96581703,0,1,5.141244903,0
46.88481431,2,0,7,28.60424889,0,,1,76.14388479,0,1,6.329405568,0
95.88731502,3,0,2,42.90450997,11,0.451994997,1,63.03983927,0,1,,0
118.1985315,3,0,0,23.24485444,15,18.02807275,1,83.56728275,0,,3.554678221,0
110.3633665,2,0,3,,0,22.99223059,0,,0,0,7.695967211,0
142.8368711,3,0,7,41.48618713,9,19.60430895,0,97.17764566,0,0,2.864328994,0
118.380992,1,0,1,47.82801279,1,45.99129558,0,84.23271927,0,0,4.279532898,0
153.5757968,3,,2,51.01165377,0,,0,70.52411595,0,1,,0
134.0108053,3,0,2,34.97661695,0,27.7075402,0,78.53633622,0,0,3.518932528,0
80.41757163,3,0,3,38.50324816,3,1.48110486,1,46.18210546,0,0,8.197356628,0
95.19700501,2,0,2,18,1,19.53617104,1,60.68335745,0,0,6.203664793,0
26.66074047,2,0,1,,0,2.319459132,0,51.52358623,0,0,4.464503539,0
1,2,0,3,18.21099045,2,57.40168958,1,,0,0,5.45677532,0
24.27648454,2,0,1,55.84225261,2,46.61335138,0,62.8600865,0,0,3.252258633,0
78.96773386,2,0,3,31.38047817,0,,0,77.80186815,0,0,4.12009937,0
,3,0,8,33.08415451,8,,2,77.99099478,0,0,1.765574355,0
185.585424,1,0,3,29.94003965,3,,0,92.24818724,0,0,2.974842449,1
74.43921618,2,0,2,55.68828087,2,13.35009198,0,95.86381006,0,0,1.846234092,1
95.62823356,2,0,7,18,7,58.04260449,0,72.09337162,0,1,3.026272013,1
75.31217084,1,0,3,34.24526232,,19.6445491,1,100,0,0,6.830420674,0
55.94658317,2,0,10,45.99606717,17,21.1841703,1,94.73645196,0,0,,1
141.947025,1,0,2,,7,63.0969526,1,91.32557159,0,1,3.619098555,0
203.7700399,2,1,1,,2,6.272825894,2,87.41589547,0,0,3.447374394,0
137.7832919,2,0,2,45.38054292,1,14.38144131,0,25.81141227,0,0,7.782170823,0
103.9058868,2,0,3,32.46444925,7,3.492307922,2,75.40647499,0,1,7.826427524,0
22.63480055,3,0,4,18.31632102,,1.489752787,,45.62560611,0,0,5.960808493,0
118.2480501,3,0,1,18,3,2.402821152,0,100,1,1,,1
129.2952101,3,0,6,50.67745803,2,,2,67.37205643,0,1,2.595627317,0
111.5350453,2,0,3,31.7908055,14,0.224467284,1,67.3237146,0,1,,1
193.9937275,3,0,4,42.84247794,5,10.41009835,2,100,0,0,,0
122.8344005,2,0,1,46.60276719,,10.68236131,1,22.31659453,0,0,1.796817058,0
73.31998468,2,0,0,34.38617402,3,20.68180356,0,81.74820401,0,0,,0
125.3995663,2,0,0,22.77686335,2,4.064625342,2,100,0,1,7.951397169,0
83.27493821,2,0,5,,0,5.178635954,1,68.93297876,0,1,1.614826926,0
62.40153341,2,0,3,18,1,43.09672416,0,84.24961505,0,0,2.576397353,0
25.8507784,2,0,1,18,3,,1,40.55147625,0,1,4.925677698,0
122.6754356,1,0,3,41.03509595,8,71.26777944,0,98.25270146,0,0,3.000244476,0
44.88539251,3,0,4,20.1870061,2,10.44301461,0,53.78301348,0,1,5.449458397,0
73.05790719,2,0,5,36.84426773,4,0.784854296,0,44.3337913,0,0,4.1161504,1
102.0462374,2,0,3,39.73657157,2,2.559554153,1,72.21953105,0,0,4.484435739,0
172.6767039,3,0,4,35.03065265,6,8.328690281,1,65.17602034,1,0,5.200467582,0
75.8508037,1,0,2,74.22899986,2,12.51343765,1,75.80516372,0,0,2.020126466,0
2.016493806,,0,1,42.76712063,,3.85772164,0,100,0,0,6.737480865,1
125.2794621,2,0,3,45.39301571,1,0.9655841,0,64.19333638,0,0,4.676274374,0
140.5399323,3,0,2,27.33514887,2,,0,85.59962129,0,0,4.02849458,0
,2,1,1,18,0,31.15170395,0,65.57498859,0,0,6.504283067,0
73.70601621,3,0,2,21.30191169,11,81.04761866,2,71.84696853,0,0,8.282070608,0
124.0130251,2,0,4,,0,30.92089281,0,92.67954757,0,1,,0
112.4110293,1,0,1,47.77179847,22,9.293494501,0,68.47086667,1,0,4.985634068,0
124.5487476,1,0,3,23.22195934,1,5.005737451,0,46.35659016,0,0,5.231203942,0
98.78227039,1,0,1,46.93273796,3,41.96910439,0,88.39317514,0,0,,0
1,1,0,4,50.67233621,4,18.48740327,0,74.23475008,0,0,,0
115.0850004,2,0,1,26.75240764,6,5.692249484,0,79.23649582,0,0,6.974282022,0
149.813341,3,0,2,33.72807861,0,4.949437264,2,85.07051222,0,0,4.616178514,0
115.5554996,2,0,4,53.59086331,,7.592580382,0,54.46571597,0,0,7.356570756,0
204.4221386,2,0,6,35.39142202,0,,1,90.41559551,0,0,3.004936089,0
111.9277477,2,0,2,25.96033917,3,48.28684451,0,85.17212212,1,1,3.571723091,0
51.20633735,3,1,4,22.66800968,2,50.46169889,0,79.95252975,1,0,7.476094736,0
132.9725621,2,0,3,,4,,0,59.25245908,0,0,4.212582041,1
135.1713958,2,0,1,45.14085583,,,1,90.25709377,0,0,,0
149.1341571,3,1,5,49.65429219,4,1.968949027,1,85.26200159,1,0,4.421952371,0
95.10423768,,0,5,18,0,38.08065263,1,,0,0,5.941488212,0
106.1335158,1,0,3,27.74361393,,44.32172219,1,,0,0,5.809429054,0
95.40776178,2,0,4,30.85633947,,,2,74.69537787,0,0,4.39087948,0
82.89256744,2,0,5,35.75180559,4,7.075868924,0,58.82078578,0,0,7.715833043,0
110.0349347,3,0,3,39.44418332,6,51.64016461,0,88.52725266,0,,6.046938884,0
,3,1,1,21.2930852,10,,1,85.5439158,,0,0.739410166,0
187.4791952,2,0,2,59.43021853,11,,0,97.74445936,0,,4.530952115,0
151.2554576,3,0,2,21.99362477,2,,0,86.484289,0,0,2.636656642,0
232.2171674,3,0,5,22.17962912,0,8.513160898,2,55.49062659,0,0,3.321139216,0
124.3936142,2,0,5,58.60212676,5,1.063259025,1,,0,0,7.132741213,0
116.2041985,2,0,4,67.21441728,1,35.16939241,1,78.5987331,0,0,7.656625992,0
122.8902805,2,0,1,18.06711234,1,11.89892386,0,52.6234073,0,1,2.923799413,0
40.84719076,3,0,5,19.61723185,0,45.89229381,,66.76102045,0,0,4.460497717,0
26.75126269,3,0,2,40.57353195,4,,0,68.24373997,0,0,,0
73.43928527,2,0,1,22.43315564,0,,0,79.03063882,0,0,7.949255655,0
1.646514821,2,0,4,28.17869052,0,4.098308869,2,50.84172881,0,0,2.687454638,0
82.74265594,2,1,4,22.58450784,11,,2,98.35030603,0,1,3.809188603,0
12.06302568,2,0,1,18,3,32.20949815,2,55.50339638,1,0,9.780963098,1
276.4527594,2,0,1,30.77718713,5,20.89258518,0,,0,0,3.12400377,0
149.5083119,3,0,0,18,9,57.76623953,0,70.52332923,0,0,,1
142.4805994,2,0,2,35.45050782,3,10.57078971,0,80.28610471,0,0,7.447312674,0
122.7943886,3,0,1,64.4574813,0,,1,26.11687766,0,0,,0
99.02901971,3,0,4,35.81348594,4,29.53474896,1,70.05790085,0,1,3.901304538,0
146.0825056,3,0,6,67.33204472,3,12.14415859,0,68.40587364,1,0,,0
155.3115779,1,0,5,30.87166225,8,9.432312409,0,66.34624115,0,0,9.448680849,0
67.51173866,2,0,5,18,0,0.979991345,2,,0,0,,0
120.2106433,2,0,2,28.59557506,2,8.553773456,0,62.29201938,0,1,4.640393604,0
126.8814951,3,1,1,18,18,14.90534176,1,82.69251257,0,0,4.260010225,0
117.417087,1,0,2,48.32330167,9,2.115487582,0,62.78489079,0,1,5.441279651,0
91.78323971,2,0,2,29.70996264,7,10.20095771,2,40.58572588,0,0,4.012212603,1
108.2147383,3,0,2,33.58547266,7,,1,51.9363479,0,0,7.017865646,0
89.98237111,3,0,2,36.63915515,3,34.73898955,0,53.1840568,0,0,1.904961891,0
172.3898209,2,0,3,,,8.303811378,0,42.6867015,0,0,3.210124975,0
101.7076209,2,0,1,19.28409649,1,9.67756677,1,98.86528187,0,0,6.864432611,1
96.30135682,3,0,3,,13,46.35159107,0,100,0,0,5.157950545,1
58.19541649,2,0,3,38.58795047,1,,0,,0,0,3.504185315,0
130.336153,2,0,2,18,3,34.62374136,0,78.02773905,0,0,4.704766651,0
